연번,시도,시군구,기관명,주소,신청유형,전화번호,운영가능일자
245,충남,천안시 서북구,연세나무병원,충청남도 천안시 서북구 불당21로,외래진료,041-537-0000,2020.03.13.
246,충남,천안시 서북구,서울대정병원,충청남도 천안시 서북구 불당33길 18,외래진료,041-415-0001,2020.03.07.
247,전북,고창군,고창종합병원,전라북도 고창군 고창읍 화신1길9,외래진료,063-560-5600,2020.03.09.
248,전북,군산시,군산의료원,전라북도 군산시 의료원로 27,외래진료,063-472-5000,2020.03.04.
249,전북,군산시,동군산병원,전라북도 군산시 조촌로 149,외래진료 및 입원,063-440-0300,2020.03.02.
250,전북,남원시,남원의료원,전라북도 남원시 충정로 365,외래진료,063-620-1114,2020.03.02.
251,전북,익산시,익산병원,전라북도 익산시 무왕로 969,외래진료 및 입원,063-840-9114,2020.03.02.
252,전북,전주시 덕진구,전북대학교병원,전라북도 전주시 덕진구 건지로 20,외래진료 및 입원,063-250-1114,2020.03.02.
253,전북,전주시 덕진구,대자인병원,전라북도 전주시 덕진구 견훤로390,외래진료,063-240-2000,2020.02.25.
254,전북,전주시 덕진구,호성전주병원,전라북도 전주시 덕진구 동부대로 895,외래진료,063-240-8800,2020.03.10.
255,전북,전주시 완산구,예수병원,전라북도 전주시 완산구 서원로365,외래진료 및 입원,063-230-8114,2020.02.25.
256,전북,전주시 완산구,전주병원,전라북도 전주시 완산구 한두평3길13,외래진료,063-220-7200,2020.02.26.
257,전남,고흥군,고흥종합병원,전라남도 고흥군 고흥읍 고흥로 1935,외래진료 및 입원,061-835-6000,2020.03.04.
258,전남,목포시,목포시의료원,전라남도 목포시 이로로 18,외래진료,061-260-6500,2020.03.05.
259,전남,목포시,목포한국병원,전라남도 목포시 영산로 483,외래진료 및 입원,061-270-5500,2020.02.29.
260,전남,목포시,목포기독병원,전라남도 목포시 백년대로303,외래진료 및 입원,061-280-7500,2020.02.26.
261,전남,목포시,목포중앙병원,전라남도 목포시 영산로 623번지,외래진료 및 입원,061-280-3000,2020.02.28.
262,전남,순천시,성가롤로병원,전라남도 순천시 순광로 221,외래진료 및 입원,061-720-6434,2020.02.27.
263,전남,순천시,순천한국병원,전라남도 순천시 우명길42,외래진료 및 입원,061-740-5000,2020.02.26.
264,전남,여수시,여천전남병원,전라남도 여수시 무선로 95,외래진료,061-690-6000,2020.03.02.
265,전남,여수시,여수전남병원,전라남도 여수시 좌수영로49,외래진료,061-640-7575,2020.03.10.
266,전남,여수시,여수제일병원,전라남도 여수시 쌍봉로 70,외래진료,061-689-8114,2020.03.04.
267,전남,여수시,여수한국병원,전라남도 여수시 여천체육공원길10,외래진료,061-653-2000,2020.03.03.
268,전남,장흥군,장흥종합병원,전라남도 장흥군 장흥읍 흥성로74,외래진료,061-862-8300,2020.02.25.
269,경북,경산시,경산중앙병원,경상북도 경산시 경안로 11,외래진료,053-715-0100,2020.02.28.
270,경북,경산시,세명병원,경상북도 경산시 경안로 208,외래진료,053-819-8364,2020.03.03.
271,경북,경주시,동국대학교 경주병원,경상북도 경주시 동대로87,외래진료,054-748-9300,2020.02.27.
272,경북,구미시,차의과학대학교부속구미차병원,경상북도 구미시 신시로10길 12,외래진료,054-450-9700,2020.03.05.
273,경북,구미시,순천향대학교부속구미병원,경상북도 구미시 1공단로 179,외래진료 및 입원,054-468-9114,2020.03.05.
274,경북,구미시,바른유병원,경상북도 구미시 역전로 28,외래진료,054-457-8676,2020.03.11.
275,경북,김천시,김천제일병원,경상북도 김천시 신음1길 12,외래진료,054-420-9300,2020.03.02.
276,경북,문경시,문경제일병원,경상북도 문경시 당교3길 25,외래진료,054-550-7700,2020.02.28.
277,경북,상주시,상주성모병원,경상북도 상주시 냉림서성길7,외래진료,054-532-5001,2020.03.04.
278,경북,안동시,안동성소병원,경상북도 안동시 서동문로99,외래진료,054-850-8114,2020.02.26.
279,경북,안동시,안동병원,경상북도 안동시 앙실로11,외래진료,054-840-1004,2020.02.28.
280,경북,포항시 남구,포항성모병원,경상북도 포항시 남구 대잠동길 17,외래진료,054-272-0151,2020.03.03.
281,경북,포항시 남구,포항세명기독병원,경상북도 포항시 남구 남구 포스코대로351,외래진료 및 입원,054-275-0005,2020.02.26.
282,경북,포항시 북구,좋은선린병원,경상북도 포항시 북구 대신로 43,외래진료,054-245-5000,2020.03.02.
283,경북,포항시 북구,포항우리병원,경상북도 포항시 북구 포스코대로 256,외래진료,054-240-6000,2020.03.09.
284,경남,거제시,거붕백병원,경상남도 거제시 계룡로 5길 14,외래진료,055-733-0000,2020.03.05.
285,경남,거제시,대우병원,경상남도 거제시 도모길16,외래진료 및 입원,055-680-8114,2020.03.11.
286,경남,거제시,맑은샘병원,경상남도 거제시 연초면 거제대로 4477,외래진료,055-736-1004,2020.03.03.
287,경남,거창군,거창적십자병원,경상남도 거창군 거창읍 중앙로 91,외래진료,055-944-3251,2020.03.05.
288,경남,김해시,조은금강병원,경상남도 김해시 김해대로 1814-37,외래진료,055-330-0300,2020.02.27.
289,경남,김해시,경희의료원 교육협력 중앙병원,경상남도 김해시 분성로94-8,외래진료,055-330-6000,2020.02.26.
290,경남,김해시,갑을장유병원,경상남도 김해시 장유로 167-13,외래진료,055-310-6000,2020.02.28.
291,경남,김해시,김해복음병원,경상남도 김해시 활천로 33,외래진료,055-330-8888,2020.02.27.
292,경남,김해시,진영병원,경상남도 김해시 진영읍김해대로 334번길 9,외래진료,055-340-3700,2020.02.26.
293,경남,밀양시,밀양윤병원,경상남도 밀양시 삼문중앙로32,외래진료,055-354-2200,2020.02.28.
294,경남,사천시,삼천포서울병원,경상남도 사천시 남일로 33,외래진료,055-835-9900,2020.02.29.
295,경남,양산시,베데스다병원,경상남도 양산시 신기로 28,외래진료,055-384-9901,2020.03.06.
296,경남,양산시,양산부산대학교병원,경상남도 양산시 양산시 물금읍 금오로 20,외래진료 및 입원,055-1577-7512,2020.02.27.
297,경남,진주시,진주고려병원,경상남도 진주시 동진로2,외래진료,055-751-2500,2020.02.28.
298,경남,진주시,경상대학교병원,경상남도 진주시 강남로 79,외래진료 및 입원,055-750-8000,2020.03.02.
299,경남,진주시,진주제일병원,경상남도 진주시 진주대로 885,외래진료,055-750-7123,2020.02.28.
300,경남,진주시,한일병원,경상남도 진주시 범골로 17,외래진료,055-759-7777,2020.02.29.
301,경남,진주시,반도병원,경상남도 진주시 남강로 701,외래진료,055-747-6000,2020.03.03.
302,경남,진주시,진주세란병원,경상남도 진주시 진주대로 829,외래진료,055-760-7578,2020.02.29.
303,경남,진주시,진주복음병원,경상남도 진주시 진양호로 370,외래진료,055-743-2580,2020.03.04.
304,경남,진주시,진주바른병원,경상남도 진주시 동진로7,외래진료,055-790-3000,2020.02.25.
305,경남,창원시 마산합포구,창원제일종합병원,경상남도 창원시 마산합포구 3.15대로 238,외래진료,055-223-9000,2020.03.06.
306,경남,창원시 마산합포구,에스엠지연세병원,경상남도 창원시 마산합포구 3.15대로 76,외래진료 및 입원,055-243-0100,2020.02.27.
307,경남,창원시 마산회원구,청아병원,경상남도 창원시 마산회원구 내서읍 광려천서로 67,외래진료,055-230-1500,2020.02.26.
308,경남,창원시 마산회원구,365병원,경상남도 창원시 마산회원구 3.15대로 686,외래진료,055-248-0365,2020.02.29.
309,경남,창원시 마산회원구,마산서울병원,경상남도 창원시 마산회원구 3.15대로 653,외래진료,055-299-7000,2020.02.27.
310,경남,창원시 성산구,CNA서울아동병원,경상남도 창원시 성산구 마디미서로 54,외래진료,055-262-8511,2020.03.04.
311,경남,창원시 진해구,연세에스병원,경상남도 창원시 진해구 해원로32번길 13,외래진료,055-548-7700,2020.02.25.
312,경남,함양군,함양성심병원,경상남도 함양군 함양읍 고운로 70,외래진료,055-963-4322,2020.03.09.
313,제주,제주시,제주한라병원,제주특별자치도 제주시 도령로 65,외래진료 및 입원,064-740-5000,2020.02.27.
314,제주,제주시,제주대학교병원,제주특별자치도 제주시 아란13길 15,외래진료 및 입원,064-717-1114,2020.03.02.
315,제주,제주시,한마음병원,제주특별자치도 제주시 연신로 52,외래진료,064-750-9000,2020.03.02.
316,제주,제주시,중앙병원,제주특별자치도 제주시 월랑로 91,외래진료,064-786-7000,2020.02.28.
